test_name,test_status,test_result
parmioula_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioula_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmiopcie6ttidecee_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmiocxltx_uio_0_parmiocxltx_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmiofblptx_parmiofblptx_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmioula_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblptx_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmiopcie6ttidecee_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttidecee_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiopcie6ttidecee_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiopcie6ttidecee_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttcore_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiopcie6ttcore_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttcore_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttcore_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiootc_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiootc_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiopcie6ttcore_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6tridelldp_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiopcie6tridelldp_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_parmioitc_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmiopcie6trcore_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6trcore_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6trcore_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiopcie6trcore_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiopcie6trcore_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_stuckat_edt_edt_low_internal_sih_serial_chain,PASS,PASS
parmiomisc_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiomisc_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiomisc_uio_0_atspeed_edt_edt_low_internal_sih_serial_scan,PASS,PASS
parmiomisc_uio_0_stuckat_edt_edt_low_internal_sih_serial_scan,PASS,PASS
parmiomisc_uio_0_atspeed_edt_edt_low_internal_sih_serial_chain,PASS,PASS
parmiomisc_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioiommu_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmioiommu_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmioitc_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblptx_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiofblptx_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblptx_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblptx_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiohap_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiohap_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblptx_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiohap_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiomisc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblptx_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiocxltx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblptx_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiootc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiohap_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblprxfcrarbmux_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiocxlrx_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioiommu_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioasf_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblprxfcrarbmux_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioitc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocpc_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocxlrx_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiocxlrx_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblprxfcrarbmux_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxlrx_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioasf_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblprxfcrarbmux_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiocxlrx_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioasf_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmioasf_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiocxlrx_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiocpc_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmioasf_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmioasf_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocpc_uio_0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiofblptx_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmiofblptx_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parmiocxltx_uio_0_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiocxltx_uio_0_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblptx_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmiofblptx_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmiofblptx_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmioula_uio_0_ssn_continuity,PASS,PASS
parmioula_uio_0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiostaticmux_uio_0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioula_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiostaticmux_uio_0_ssn_continuity,PASS,PASS
parmiostaticmux_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6ttidecee_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6ttcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6trcore_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6tridelldp_uio_0_uio_a_0_retarget_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6ttidecee_uio_0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6ttidecee_uio_0_ssn_continuity,PASS,PASS
parmiopcie6ttcore_uio_0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmiopcie6ttcore_uio_0_ssn_continuity,PASS,PASS
parmiopcie6tridelldp_uio_0_ssn_continuity,PASS,PASS
parmiopcie6tridelldp_uio_0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
uio_a_0_ssn_continuity,PASS,PASS
parmiopcie6trcore_uio_0_ssn_continuity,PASS,PASS
parmiopcie6trcore_uio_0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
